Mainfile,Formula,Entry_id
AminoAcids/tyr/Dipeptide/Ca/conf_0045/FHIaims.out,C12CaH16N2O3,-JfNZBBvAiBAQyADvBoEgLn9x0kz
AminoAcids/lys/Dipeptide/bare/conf_0678/FHIaims.out,C9H19N3O2,-JoiKEo4FFsMDgoJGtETrZaVZj_j
AminoAcids/gln/Dipeptide/Ba/conf_0055/FHIaims.out,BaC8H15N3O3,-JutCNxsdpDksOqbRD1F3I4wwZfV
AminoAcids/arg/Dipeptide/bare/conf_0662/FHIaims.out,C9H19N5O2,-K2oQzDnPHF8Q_vEvzeLIqFRfp-k
AminoAcids/argH/Dipeptide/Ba/conf_0435/FHIaims.out,BaC9H20N5O2,-K37QeA3RkBgasAkwO6PmG3IdTqQ
AminoAcids/arg/Dipeptide/bare/conf_2499/FHIaims.out,C9H19N5O2,-KErrVkQ1D4ZwB8oWyVnrM2POSXt
AminoAcids/aspH/Dipeptide/bare/conf_0046/FHIaims.out,C7H12N2O4,-KHVDCwT_bsZqH_z6S1MhkFgOc9K
AminoAcids/argH/Dipeptide/bare/conf_0458/FHIaims.out,C9H20N5O2,-KT6rnIlHtWQrEa-2D2einnUsyea
AminoAcids/arg/Dipeptide/Ca/conf_0090/FHIaims.out,C9CaH19N5O2,-KcUV2uVw9Mc5aOy0DcPfENi7qa6
AminoAcids/arg/Dipeptide/Mg/conf_0718/FHIaims.out,C9H19MgN5O2,-Kgtjps7pY4UjcZ20Cr-BH70U9wz
AminoAcids/lys/Dipeptide/bare/conf_0529/FHIaims.out,C9H19N3O2,-L-K4b9WbPj9UqN8vouwJ2z9_gUq
AminoAcids/asp/Dipeptide/Ba/conf_0008/FHIaims.out,BaC7H11N2O4,-LAZ3ysDOtIyYX7MwjiYqCByXboB
AminoAcids/lys/Dipeptide/bare/conf_0851/FHIaims.out,C9H19N3O2,-LHhFdPHb9Dg9idMLwYu9l3rdp75
AminoAcids/lysH/Dipeptide/bare/conf_0543/FHIaims.out,C9H20N3O2,-LVxPCg3_I6l288rOCwhceYlFch3
AminoAcids/arg/Dipeptide/Ca/conf_0681/FHIaims.out,C9CaH19N5O2,-M5zlf1WWKkJDojRQoAxr4897z2o
AminoAcids/arg/Dipeptide/bare/conf_1791/FHIaims.out,C9H19N5O2,-MTs9HdIOUlhujN1yoWh4fNefNRA
AminoAcids/arg/Dipeptide/bare/conf_2670/FHIaims.out,C9H19N5O2,-MY5eXDXET3mQzEy_aS3s-zQU_bQ
AminoAcids/arg/Dipeptide/bare/conf_3514/FHIaims.out,C9H19N5O2,-McgsU4cMZzbjv1defA1RWOl9svy
AminoAcids/lysH/Dipeptide/Ba/conf_0537/FHIaims.out,BaC9H20N3O2,-MqKLRZ97Zg1xHXFi4l8bsRmASI6
AminoAcids/arg/Dipeptide/bare/conf_3494/FHIaims.out,C9H19N5O2,-N0cedTLOKA3vKaUnfGQZNXH4KTf
AminoAcids/arg/Dipeptide/bare/conf_3087/FHIaims.out,C9H19N5O2,-N3fbFIjPkUDlGBVcdRJ8PRzQqWO
AminoAcids/thr/Dipeptide/bare/conf_0104/FHIaims.out,C7H14N2O3,-NbYop_SOIfyF_bks_tUSrJa0Xvv
AminoAcids/ile/Dipeptide/bare/conf_0150/FHIaims.out,C9H18N2O2,-Nj7SZRbicN5TTC6ykLhK0p5Ld1i
AminoAcids/lysH/Dipeptide/Mg/conf_0131/FHIaims.out,C9H20MgN3O2,-NwwUcoD6rNiwUx7cE-XG80cdgdY
AminoAcids/arg/Dipeptide/bare/conf_2445/FHIaims.out,C9H19N5O2,-O0GTYTIaHPLpaD9p29IIwqhzc9a
AminoAcids/hisD/Dipeptide/bare/conf_0001/FHIaims.out,C9H14N4O2,-OBaESZmObQAZ2iNYLlr_9SjTcq0
AminoAcids/lysH/Dipeptide/Ca/conf_0539/FHIaims.out,C9CaH20N3O2,-OCIj2qeZeB__zautJmFfIDNt3ZV
AminoAcids/arg/Dipeptide/Mg/conf_0132/FHIaims.out,C9H19MgN5O2,-OGsA5pRSR7Q1ixrfz-CX1ZdE7mo
AminoAcids/cys/Dipeptide/bare/conf_0038/FHIaims.out,C6H12N2O2S,-OIQ8j9HzkV2eME3yNyTXC95yLcM
AminoAcids/argH/Dipeptide/Ba/conf_0420/FHIaims.out,BaC9H20N5O2,-OXFdHxhiKitUnzRq4U7EqEo1EL7
